,標題,價錢,連結,圖片
8,Agile Product Management: Product manager vs Scrum product owner & Product Backlog 21 Tips,119,https://24h.pchome.com.tw/books/prod/DJBQ33-D900DKQCS,https://img.pchome.com.tw/cs/items/DJBQ33D900DKQCS/000001_1642229125.jpg?width=320
9,Agile Product Management: Product Owner 27 Tips & Sprint Review: 15 tips to demo and impro,119,https://24h.pchome.com.tw/books/prod/DJBQ33-D900GWFG3,https://img.pchome.com.tw/cs/items/DJBQ33D900GWFG3/000001_1699859805.jpg?width=320
10,Marketing Skills For Product Managers: How Product Managers Can Use Marketing To Make Thei,300,https://24h.pchome.com.tw/books/prod/DJBQ33-D900GTYKU,https://img.pchome.com.tw/cs/items/DJBQ33D900GTYKU/000001_1699704501.jpg?width=320
2,日本product純植造型持久髮膠110g,650,https://24h.pchome.com.tw/prod/DDAOTX-A900CE4X6,https://img.pchome.com.tw/cs/items/DDAOTXA900CE4X6/000001_1641542672.jpg?width=320
3,日本product保濕牛奶噴霧100ml,650,https://24h.pchome.com.tw/prod/DDAOTX-A900FEF2F,https://img.pchome.com.tw/cs/items/DDAOTXA900FEF2F/000001_1660719331.png?width=320
1,日本product經典萬用髮蠟(柑橘)42g,680,https://24h.pchome.com.tw/prod/DDAOTX-A900C8WA8,https://img.pchome.com.tw/cs/items/DDAOTXA900C8WA8/000001_1641370905.jpg?width=320
5,日本product造型乳(柔潤輕盈)100g,750,https://24h.pchome.com.tw/prod/DDAOTX-A900GF8XQ,https://img.pchome.com.tw/cs/items/DDAOTXA900GF8XQ/000001_1686986757.jpg?width=320
4,日本product經典萬用髮蠟(橙花)42g,790,https://24h.pchome.com.tw/prod/DDAOTX-A900C8X39,https://img.pchome.com.tw/cs/items/DDAOTXA900C8X39/000001_1641379266.jpg?width=320
7,Practical Product Management for Product Owners,865,https://24h.pchome.com.tw/books/prod/DJBQ3H-D900H4H6T,https://img.pchome.com.tw/cs/items/DJBQ3HD900H4H6T/000001_1706609710.jpg?width=320
6,Product-Focused Software Process Improvement,1500,https://24h.pchome.com.tw/books/prod/DJBQ3H-D900H23UI,https://img.pchome.com.tw/cs/items/DJBQ3HD900H23UI/000001_1704211818.jpg?width=320
